datetime,Date,Time,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3
16/12/2006 17:24:00,16/12/2006,17:24:00,4.216,0.418,234.84,18.4,0,1,17.0
16/12/2006 17:30:00,16/12/2006,17:30:00,3.702,0.52,235.09,15.8,0,1,17.0
16/12/2006 17:36:00,16/12/2006,17:36:00,5.224,0.478,232.99,22.4,0,1,16.0
16/12/2006 17:42:00,16/12/2006,17:42:00,3.266,0,237.13,13.8,0,0,18.0
16/12/2006 17:48:00,16/12/2006,17:48:00,4.474,0,234.96,19.4,0,0,17.0
16/12/2006 17:54:00,16/12/2006,17:54:00,2.72,0,235.06,11.6,0,0,17.0
16/12/2006 18:00:00,16/12/2006,18:00:00,2.79,0.18,237.52,11.8,0,0,18.0
16/12/2006 18:06:00,16/12/2006,18:06:00,6.752,0.186,232.12,29,0,36,17.0
16/12/2006 18:12:00,16/12/2006,18:12:00,3.73,0.144,235.78,16.4,0,27,17.0
16/12/2006 18:18:00,16/12/2006,18:18:00,4.472,0,233.29,19.2,0,1,16.0
16/12/2006 18:24:00,16/12/2006,18:24:00,3.452,0,235.2,15.2,0,1,17.0
16/12/2006 18:30:00,16/12/2006,18:30:00,2.93,0,236.15,12.4,0,1,17.0
16/12/2006 18:36:00,16/12/2006,18:36:00,4.536,0,233.54,19.4,0,1,17.0
16/12/2006 18:42:00,16/12/2006,18:42:00,2.258,0.054,235.12,9.6,0,1,17.0
16/12/2006 18:48:00,16/12/2006,18:48:00,2.786,0.188,234.99,12,0,2,17.0
16/12/2006 18:54:00,16/12/2006,18:54:00,4.298,0,232.39,18.4,0,1,16.0
16/12/2006 19:00:00,16/12/2006,19:00:00,4.07,0.088,231.99,17.4,0,1,17.0
16/12/2006 19:06:00,16/12/2006,19:06:00,3.382,0.074,233.69,14.4,0,0,17.0
16/12/2006 19:12:00,16/12/2006,19:12:00,3.432,0,234.69,14.6,0,1,16.0
16/12/2006 19:18:00,16/12/2006,19:18:00,3.42,0,234.43,14.6,0,1,17.0
